concept_id,concept_name,concept_code,vocabulary_id,covid19_screen_include
45562431,Acute nasopharyngitis [common cold],J00,ICD10,1
35207921,Acute nasopharyngitis [common cold],J00,ICD10CM,1
1569439,Acute sinusitis,J01,ICD10CM,0
45548098,Acute sinusitis,J01,ICD10,0
1569440,Acute maxillary sinusitis,J01.0,ICD10CM,0
45601112,Acute maxillary sinusitis,J01.0,ICD10,0
45576939,"Acute maxillary sinusitis, unspecified",J01.00,ICD10CM,0
45581839,Acute recurrent maxillary sinusitis,J01.01,ICD10CM,0
1569441,Acute frontal sinusitis,J01.1,ICD10CM,0
45586656,Acute frontal sinusitis,J01.1,ICD10,0
45533536,"Acute frontal sinusitis, unspecified",J01.10,ICD10CM,0
45576940,Acute recurrent frontal sinusitis,J01.11,ICD10CM,0
1569442,Acute ethmoidal sinusitis,J01.2,ICD10CM,0
45548099,Acute ethmoidal sinusitis,J01.2,ICD10,0
45538468,"Acute ethmoidal sinusitis, unspecified",J01.20,ICD10CM,0
45548100,Acute recurrent ethmoidal sinusitis,J01.21,ICD10CM,0
1569443,Acute sphenoidal sinusitis,J01.3,ICD10CM,0
45552875,Acute sphenoidal sinusitis,J01.3,ICD10,0
45538469,"Acute sphenoidal sinusitis, unspecified",J01.30,ICD10CM,0
45596274,Acute recurrent sphenoidal sinusitis,J01.31,ICD10CM,0
45605879,Acute pansinusitis,J01.4,ICD10,0
1569444,Acute pansinusitis,J01.4,ICD10CM,0
45557614,"Acute pansinusitis, unspecified",J01.40,ICD10CM,0
45601113,Acute recurrent pansinusitis,J01.41,ICD10CM,0
45586657,Other acute sinusitis,J01.8,ICD10,0
1569445,Other acute sinusitis,J01.8,ICD10CM,0
45581840,Other acute sinusitis,J01.80,ICD10CM,0
45576941,Other acute recurrent sinusitis,J01.81,ICD10CM,0
1569446,"Acute sinusitis, unspecified",J01.9,ICD10CM,0
45543252,"Acute sinusitis, unspecified",J01.9,ICD10,0
45538470,"Acute sinusitis, unspecified",J01.90,ICD10CM,0
45538471,"Acute recurrent sinusitis, unspecified",J01.91,ICD10CM,0
45557615,Acute pharyngitis,J02,ICD10,1
1569447,Acute pharyngitis,J02,ICD10CM,1
35207922,Streptococcal pharyngitis,J02.0,ICD10CM,0
45533537,Streptococcal pharyngitis,J02.0,ICD10,0
45562432,Acute pharyngitis due to other specified organisms,J02.8,ICD10,1
35207923,Acute pharyngitis due to other specified organisms,J02.8,ICD10CM,1
45538472,"Acute pharyngitis, unspecified",J02.9,ICD10,1
35207924,"Acute pharyngitis, unspecified",J02.9,ICD10CM,1
45552876,Acute tonsillitis,J03,ICD10,0
1569448,Acute tonsillitis,J03,ICD10CM,0
45601114,Streptococcal tonsillitis,J03.0,ICD10,0
1569449,Streptococcal tonsillitis,J03.0,ICD10CM,0
45543253,"Acute streptococcal tonsillitis, unspecified",J03.00,ICD10CM,0
45552877,Acute recurrent streptococcal tonsillitis,J03.01,ICD10CM,0
1569450,Acute tonsillitis due to other specified organisms,J03.8,ICD10CM,0
45562433,Acute tonsillitis due to other specified organisms,J03.8,ICD10,0
45591539,Acute tonsillitis due to other specified organisms,J03.80,ICD10CM,0
45605880,Acute recurrent tonsillitis due to other specified organisms,J03.81,ICD10CM,0
1569451,"Acute tonsillitis, unspecified",J03.9,ICD10CM,0
45576942,"Acute tonsillitis, unspecified",J03.9,ICD10,0
45538473,"Acute tonsillitis, unspecified",J03.90,ICD10CM,0
45591540,"Acute recurrent tonsillitis, unspecified",J03.91,ICD10CM,0
45572157,Acute laryngitis and tracheitis,J04,ICD10,1
1569452,Acute laryngitis and tracheitis,J04,ICD10CM,1
35207925,Acute laryngitis,J04.0,ICD10CM,1
45533538,Acute laryngitis,J04.0,ICD10,1
1569453,Acute tracheitis,J04.1,ICD10CM,1
45576943,Acute tracheitis,J04.1,ICD10,1
45533539,Acute tracheitis without obstruction,J04.10,ICD10CM,1
45533540,Acute tracheitis with obstruction,J04.11,ICD10CM,1
35207926,Acute laryngotracheitis,J04.2,ICD10CM,1
45562434,Acute laryngotracheitis,J04.2,ICD10,1
1569454,"Supraglottitis, unspecified",J04.3,ICD10CM,0
45562435,"Supraglottitis, unspecified, without obstruction",J04.30,ICD10CM,0
45572158,"Supraglottitis, unspecified, with obstruction",J04.31,ICD10CM,0
45755448,Acute obstructive laryngitis [croup] and epiglottitis,J05,ICD10,0
1569455,Acute obstructive laryngitis [croup] and epiglottitis,J05,ICD10CM,0
45567258,Acute obstructive laryngitis [croup],J05.0,ICD10,1
35207927,Acute obstructive laryngitis [croup],J05.0,ICD10CM,1
45538474,Acute epiglottitis,J05.1,ICD10,0
1569456,Acute epiglottitis,J05.1,ICD10CM,0
45533541,Acute epiglottitis without obstruction,J05.10,ICD10CM,0
45601115,Acute epiglottitis with obstruction,J05.11,ICD10CM,0
45601116,Acute upper respiratory infections of multiple and unspecified sites,J06,ICD10,1
1569457,Acute upper respiratory infections of multiple and unspecified sites,J06,ICD10CM,1
35207928,Acute laryngopharyngitis,J06.0,ICD10CM,1
45562436,Acute laryngopharyngitis,J06.0,ICD10,1
45533542,Other acute upper respiratory infections of multiple sites,J06.8,ICD10,1
45562437,"Acute upper respiratory infection, unspecified",J06.9,ICD10,1
35207929,"Acute upper respiratory infection, unspecified",J06.9,ICD10CM,1
45538472,"Acute pharyngitis, unspecified",J02.9,ICD10,1
45538478,Chronic pharyngitis,J31.2,ICD10,1
45533537,Streptococcal pharyngitis,J02.0,ICD10,0
45533542,Other acute upper respiratory infections of multiple sites,J06.8,ICD10,1
45542552,Enteroviral vesicular pharyngitis,B08.5,ICD10,0
45562431,Acute nasopharyngitis [common cold],J00,ICD10,1
45562432,Acute pharyngitis due to other specified organisms,J02.8,ICD10,1
45562436,Acute laryngopharyngitis,J06.0,ICD10,1
45562437,"Acute upper respiratory infection, unspecified",J06.9,ICD10,1
45557615,Acute pharyngitis,J02,ICD10,1
45600426,Gonococcal pharyngitis,A54.5,ICD10,0
45601116,Acute upper respiratory infections of multiple and unspecified sites,J06,ICD10,1
45601126,Chronic nasopharyngitis,J31.1,ICD10,1
45755453,"Chronic rhinitis, nasopharyngitis and pharyngitis",J31,ICD10,1
45537728,Early congenital syphilitic pharyngitis,A50.03,ICD10CM,0
35205597,Gonococcal pharyngitis,A54.5,ICD10CM,0
35205756,Enteroviral vesicular pharyngitis,B08.5,ICD10CM,1
35207921,Acute nasopharyngitis [common cold],J00,ICD10CM,1
35207922,Streptococcal pharyngitis,J02.0,ICD10CM,0
35207923,Acute pharyngitis due to other specified organisms,J02.8,ICD10CM,1
35207924,"Acute pharyngitis, unspecified",J02.9,ICD10CM,1
35207928,Acute laryngopharyngitis,J06.0,ICD10CM,1
35207929,"Acute upper respiratory infection, unspecified",J06.9,ICD10CM,1
35207975,Chronic nasopharyngitis,J31.1,ICD10CM,1
35207976,Chronic pharyngitis,J31.2,ICD10CM,1
1569447,Acute pharyngitis,J02,ICD10CM,1
1569457,Acute upper respiratory infections of multiple and unspecified sites,J06,ICD10CM,1
