concept_id,concept_name,cdm_table,cdm_column
44814664,Ambiguous,All,All
44814653,Unknown,All,All
44814649,Other,All,All
8532,Female,person,gender_concept_id
8507,Male,person,gender_concept_id
8657,American Indian/Alaska Native,person,race_concept_id
8515,Asian,person,race_concept_id
8516,Black or African American,person,race_concept_id
8557,Native Hawaiian or Other Pacific Islander,person,race_concept_id
8527,White,person,race_concept_id
44814659,Multiple Race,person,race_concept_id
44814660,Refuse to answer,person,race_concept_id
38003563,Hispanic,person,ethnicity_concept_id
38003564,Not Hispanic,person,ethnicity_concept_id
38003569,EHR record patient status,person,death_type_concept_id
2000000034,Both month and day imputed,death,death_impute_concept_id
2000000035,Day imputed,death,death_impute_concept_id
2000000036,Month imputed,death,death_impute_concept_id
2000000038,Full Date imputed,death,death_impute_concept_id
2000000037,Not imputed,death,death_impute_concept_id
9201,Inpatient Hospital Stay,care_site,place_of_service_concept_id
9202,Ambulatory Visit,care_site,place_of_service_concept_id
9203,Emergency Department,care_site,place_of_service_concept_id
42898160,Long Term Care Visit,care_site,place_of_service_concept_id
44814711,Other ambulatory Visit,care_site,place_of_service_concept_id
44814710,Non-Acute Institutional Stay,care_site,place_of_service_concept_id
2000000048,Emergency Department Admit to Inpatient Hospital Stay,care_site,place_of_service_concept_id
9201,Inpatient Hospital Stay,visit_occurrence,visit_concept_id
9202,Ambulatory Visit,visit_occurrence,visit_concept_id
9203,Emergency Department,visit_occurrence,visit_concept_id
42898160,Long Term Care Visit,visit_occurrence,visit_concept_id
44814711,Other ambulatory Visit,visit_occurrence,visit_concept_id
44814710,Non-Acute Institutional Stay,visit_occurrence,visit_concept_id
2000000048,Emergency Department Admit to Inpatient Hospital Stay,visit_occurrence,visit_concept_id
44818518,Visit derived from EHR record,visit_occurrence,visit_type_concept_id
38000199,Inpatient header - primary,condition_occurrence,condition_type_concept_id
38000230,Outpatient header - 1st position,condition_occurrence,condition_type_concept_id
38000201,Inpatient header - 2nd position,condition_occurrence,condition_type_concept_id
38000231,Outpatient header - 2nd position,condition_occurrence,condition_type_concept_id
38000245,EHR problem list entry,condition_occurrence,condition_type_concept_id
38000275,EHR order list entry,procedure_occurrence,procedure_type_concept_id
4145666,Admitting source,observation,observation_concept_id
44814670,Adult Foster Home,observation,value_as_concept_id
44814671,Assisted Living Facility,observation,value_as_concept_id
44814672,Ambulatory Visit,observation,value_as_concept_id
8870,Emergency Department,observation,value_as_concept_id
44814674,Home Health,observation,value_as_concept_id
44814675,Home / Self Care,observation,value_as_concept_id
8546,Hospice,observation,value_as_concept_id
38004279,Other Acute Inpatient Hospital,observation,value_as_concept_id
44814678,Nursing Home (Includes ICF),observation,value_as_concept_id
44814679,Rehabilitation Facility,observation,value_as_concept_id
44814680,Residential Facility,observation,value_as_concept_id
8863,Skilled Nursing Facility,observation,value_as_concept_id
44814650,No information,observation,value_as_concept_id
44814653,Unknown,observation,value_as_concept_id
44814649,Other,observation,value_as_concept_id
4161979,Discharged alive,observation,value_as_concept_id
4216643,Expired,observation,value_as_concept_id
44814650,No information,observation,value_as_concept_id
4137274,Discharge status,observation,observation_concept_id
38004205,Adult Foster Home,observation,value_as_concept_id
38004301,Assisted Living Facility,observation,value_as_concept_id
4021968,Against Medical Advice,observation,value_as_concept_id
44814693,Absent without leave,observation,value_as_concept_id
4216643,Expired,observation,value_as_concept_id
38004195,Home Health,observation,value_as_concept_id
8536,Home / Self Care,observation,value_as_concept_id
8546,Hospice,observation,value_as_concept_id
38004279,Other Acute Inpatient Hospital,observation,value_as_concept_id
8676,Nursing Home (Includes ICF),observation,value_as_concept_id
8920,Rehabilitation Facility,observation,value_as_concept_id
44814701,Residential Facility,observation,value_as_concept_id
8717,Still In Hospital,observation,value_as_concept_id
8863,Skilled Nursing Facility,observation,value_as_concept_id
4005823,Tobacco,observation,observation_concept_id
4005823,Tobacco User,observation,value_as_concept_id
45765920,Never used Tobacco,observation,value_as_concept_id
45765917,Ex-tobacco user,observation,value_as_concept_id
4030580,Non-smoker's second hand smoke syndrome,observation,value_as_concept_id
2000000040,Not asked,observation,value_as_concept_id
4219336,Tobacco Type,observation,observation_concept_id
298794,Smoker,observation,value_as_concept_id
4224317,Pipe smoking tobacco,observation,value_as_concept_id
4282779,Cigarette smoking tobacco,observation,value_as_concept_id
4132133,Cigar smoking tobacco,observation,value_as_concept_id
4218197,Snuff tobacco,observation,value_as_concept_id
4219234,Chewing tobacco,observation,value_as_concept_id
45765920,Never used tobacco,observation,value_as_concept_id
5765917,Ex tobacco user,observation,value_as_concept_id
4030580,Non-smoker's second hand smoke syndrome,observation,value_as_concept_id
4275495,Smoking,observation,observation_concept_id
42709996,Smokes tobacco daily,observation,value_as_concept_id
2000000039,Occasional tobacco smoker - SNOMED International Code,observation,value_as_concept_id
4310250,Ex-smoker,observation,value_as_concept_id
4144272,Never smoked tobacco,observation,value_as_concept_id
4298794,Smoker,observation,value_as_concept_id
4141786,Tobacco smoking consumption(status) unknown,observation,value_as_concept_id
4044778,Chain smoker,observation,value_as_concept_id
4209006,Heavy smoker (over 20 per day),observation,value_as_concept_id
4209585,Moderate smoker (20 or less per day),observation,value_as_concept_id
38000280,observation recorded from EMR),observation,observation_type_concept_id
38000175,Prescription dispensed in pharmacy ,drug_exposure,drug_type_concept_id
38000180,Inpatient administration ,drug_exposure,drug_type_concept_id
38000177,Prescription written,drug_exposure,drug_type_concept_id
2000000033,Vital Sign from healthcare delivery setting,measurement,measurement_type_concept_id
2000000032,Vital Sign from healthcare device,measurement,measurement_type_concept_id
44818702,Lab result,measurement,measurement_type_concept_id
44818703,Pathology finding,measurement,measurement_type_concept_id
44818704,Patient reported value ,measurement,measurement_type_concept_id
45754907,Derived Value ,measurement,measurement_type_concept_id
4171754,Operator <=,measurement,operator_concept_id
4171755,Operator >=,measurement,operator_concept_id
4171756,Operator < ,measurement,operator_concept_id
4172703,Operator =,measurement,operator_concept_id
4172704,Operator >,measurement,operator_concept_id
8582,Centimeters (cm),measurement,unit_concept_id
9529,Kilograms (kg),measurement,unit_concept_id
9531,Kilograms per square meter (kg/m2):,measurement,unit_concept_id
8876,illimeters mercury (mmHG),measurement,unit_concept_id
2000000059,Expedited ,measurement,priority_concept_id
2000000060,STAT,measurement,priority_concept_id
2000000061,Routine ,measurement,priority_concept_id
2000000062,Timed,measurement,priority_concept_id
4182354,Amharic language,person,language_concept_id
4181374,Arabic language,person,language_concept_id
4052786,Bengali language,person,language_concept_id
4181727,Burmese language,person,language_concept_id
40481563,Bosnian language,person,language_concept_id
4182948,Chinese Language,person,language_concept_id
4177463,Cantonese Chinese dialect,person,language_concept_id
4181724,Mandarin dialect,person,language_concept_id
4180186,English Language,person,language_concept_id
4180190,French Language,person,language_concept_id
44802876,Haitian Creole Language,person,language_concept_id
4181524,Japanese Language,person,language_concept_id
4175771,Korean Language,person,language_concept_id
4181724,Mandarin dialect,person,language_concept_id
4175908,Nepali language,person,language_concept_id
44814650,No information,person,language_concept_id
4181536,Portuguese language,person,language_concept_id
4181539,Russian language,person,language_concept_id
40483152,Sign language,person,language_concept_id
4182350,Somali language,person,language_concept_id
4182511,Spanish language,person,language_concept_id
4181526,Vietnamese language,person,language_concept_id
