PCORNET_Concept,Source_Concept_Class,Standard_Concept_ID,Value_as_concept,Concept_Description
Y,Biobank flag,4001345,4188539,Yes
N,Biobank flag,4001345,4188540,No
N,Biobank flag,4001345,,No information
N,Biobank flag,4001345,0,Unknown
N,Hispanic,38003564,,No
Y,Hispanic,38003563,,Yes
OT,Hispanic,44814649,,Other
UN,Hispanic,44814653,,Unknown
NI,Hispanic,44814650,,No information
,Hispanic,,,NULL
1,Race,8657,,American Indian or Alaska Native
2,Race,8515,,Asian
3,Race,8516,,Black or African American
4,Race,8557,,Native Hawaiian or Other Pacific Islander
5,Race,8527,,White
6,Race,44814659,,Multiple race
7,Race,44814660,,Refuse to answer
UN,Race,8552,,Unknown 
OT,Race,8522,,Other
,Race,,,NULL
NI,Race,44814661,,No information
F,Gender,8532,,Female
M,Gender,8507,,Male
A,Gender,8570,,Ambiguous
UN,Gender,8551,,Unknown 
,Gender,,,NULL
NI,Gender,44814667,,No information
OT,Gender,8521,,Other
AF,Admitting source,4145666,38004205,Adult Foster Home 
AL,Admitting source,4145666,38004301,Assisted Living Facility 
AV,Admitting source,4145666,38004207,Ambulatory Visit 
ED,Admitting source,4145666,8870,Emergency Department 
HH,Admitting source,4145666,38004195,Home Health 
HO,Admitting source,4145666,8536,Home / Self Care 
HS,Admitting source,4145666,8546,Hospice 
IP,Admitting source,4145666,38004279,Other Acute Inpatient Hospital 
NH,Admitting source,4145666,8676,Nursing Home (Includes ICF) 
RH,Admitting source,4145666,8920,Rehabilitation Facility 
RS,Admitting source,4145666,44814680,Residential Facility 
SN,Admitting source,4145666,8863,Skilled Nursing Facility 
,Admitting source,4145666,,NULL
NI,Admitting source,4145666,44814682,No information 
UN,Admitting source,4145666,44814683,Unknown 
OT,Admitting source,4145666,44814684,Other
A,Discharge disposition,44813951,4161979,Discharged alive 
E,Discharge disposition,44813951,4216643,Expired 
NI,Discharge disposition,44813951,44814687,No information
,Discharge disposition,44813951,,NULL
UN,Discharge disposition,44813951,44814688,Unknown 
OT,Discharge disposition,44813951,44814689,Other
AF,Discharge status,4137274,38004205,Adult Foster Home 
AL,Discharge status,4137274,38004301,Assisted Living Facility 
AM,Discharge status,4137274,4021968,Against Medical Advice 
AW,Discharge status,4137274,44814693,Absent without leave 
EX,Discharge status,4137274,4216643,Expired 
HH,Discharge status,4137274,38004195,Home Health 
HO,Discharge status,4137274,8536,Home / Self Care 
HS,Discharge status,4137274,8546,Hospice 
IP,Discharge status,4137274,38004279,Other Acute Inpatient Hospital 
NH,Discharge status,4137274,8676,Nursing Home (Includes ICF) 
RH,Discharge status,4137274,8920,Rehabilitation Facility 
RS,Discharge status,4137274,44814701,Residential Facility 
SH,Discharge status,4137274,8717,Still In Hospital 
SN,Discharge status,4137274,8863,Skilled Nursing Facility 
UN,Discharge status,4137274,0,Unknown 
,Discharge status,4137274,,NULL
NI,Discharge status,4137274,44814704,No information
UN,Discharge status,4137274,44814705,Unknown
OT,Discharge status,4137274,44814706,Other
IP,Encounter type,9201,,Inpatient Hospital Stay 
AV,Encounter type,9202,,Ambulatory Visit
ED,Encounter type,9203,,Emergency Department 
IS,Encounter type,42898160,,Non-Acute Institutional Stay 
UN,Encounter type,44814713,,Unknown 
NI,Encounter type,44814712,,No information
,Encounter type,,,NULL
OT,Encounter type,44814711,,Other
Y,Chart availability,4030450,4188539,Yes
N,Chart availability,4030450,4188540,No
N,Chart availability,4030450,0,Unknown
N,Chart availability,4030450,,No information
1,BP Position,3018586,,Sitting
2,BP Position,3035856,,Standing
3,BP Position,3009395,,Supine
NI,BP Position,3004249,,No information
2,BP Position,3035856,,Standing
3,BP Position,3009395,,Supine
UN,BP Position,,,Unknown
,BP Position,,,NULL
PR,Vital source,4481472,,Patient reported
HC,Vital source,38000280,,Healthcare delivery setting
,Vital source,,,NULL
OT,Vital source,0,,Other
