concept_id,concept_name,concept_code,vocabulary_id,dx_class
320651,Severe acute respiratory syndrome,398447004,SNOMED,dx
37016927,Pneumonia caused by Human coronavirus,713084008,SNOMED,dx
37310254,Otitis media caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310260,Close exposure to 2019 novel coronavirus infection,1.24E+15,SNOMED,exp
37310283,Gastroenteritis caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310284,Encephalopathy caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310285,Pneumonia caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310286,Infection of upper respiratory tract caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310287,Myocarditis caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37311059,Exposure to severe acute respiratory syndrome coronavirus 2,840546002,SNOMED,exp
37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,840539006,SNOMED,dx
37396171,Severe acute respiratory syndrome of upper respiratory tract,715882005,SNOMED,dx
40479642,Pneumonia due to Severe acute respiratory syndrome coronavirus,441590008,SNOMED,dx
40479782,Exposure to severe acute respiratory syndrome coronavirus,444482005,SNOMED,exp
4100065,Disease due to Coronaviridae,27619001,SNOMED,dx
4248811,Healthcare associated severe acute respiratory syndrome,408688009,SNOMED,dx
439676,Coronavirus infection,186747009,SNOMED,dx
45763594,Middle East respiratory syndrome,6.51E+11,SNOMED,dx
45765578,Exposure to coronavirus infection,702547000,SNOMED,exp
756022,Exposure to patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873948,OMOP Extension,exp
756023,Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2,OMOP4873906,OMOP Extension,dx
756027,Healthcare contact with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873964,OMOP Extension,exp
756031,Bronchitis caused by severe acute respiratory syndrome coronavirus 2,OMOP4873909,OMOP Extension,dx
756035,Healthcare contact of Patient with another patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873949,OMOP Extension,exp
756037,Presence in a laboratory handling suspected or confirmed cases samples of disease caused by severe acute respiratory syndrome coronavirus 2,OMOP4873953,OMOP Extension,exp
756039,Respiratory infection caused by severe acute respiratory syndrome coronavirus 2,OMOP4873907,OMOP Extension,dx
756041,Close contact with symptomatic patient with confirmed or presumptive/probable case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873957,OMOP Extension,exp
756044,Acute respiratory distress syndrome (ARDS) caused by severe acute respiratory syndrome coronavirus 2,OMOP4873911,OMOP Extension,dx
756045,Household contact with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873954,OMOP Extension,exp
756047,Healthcare contact of Healthcare worker with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873958,OMOP Extension,exp
